npm verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
npm info using npm@10.9.4
npm info using node@v22.21.0
npm verbose title npm i
npm verbose argv "i" "--legacy-peer-deps" "--loglevel" "verbose"
npm verbose logfile logs-max:10 dir:C:\Users\vicen\AppData\Local\npm-cache\_logs\2025-11-10T01_06_02_909Z-
npm verbose logfile C:\Users\vicen\AppData\Local\npm-cache\_logs\2025-11-10T01_06_02_909Z-debug-0.log
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\win32-ia32
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\win32-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\sunos-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\openbsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\netbsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-s390x
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-riscv64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-ppc64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-mips64el
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-loong64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-ia32
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\linux-arm
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\freebsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\freebsd-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\darwin-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\darwin-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\android-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\android-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vitest\node_modules\@esbuild\android-arm
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\win32-ia32
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\win32-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\sunos-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\openbsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\netbsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-s390x
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-riscv64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-ppc64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-mips64el
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-loong64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-ia32
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\linux-arm
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\freebsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\freebsd-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\darwin-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\darwin-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\android-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\android-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\vite-node\node_modules\@esbuild\android-arm
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\fsevents
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-win32-ia32-msvc
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-win32-arm64-msvc
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-linux-x64-musl
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-linux-x64-gnu
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-linux-arm64-musl
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-linux-arm64-gnu
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-linux-arm-gnueabihf
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-darwin-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@swc\core-darwin-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-win32-ia32-msvc
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-win32-arm64-msvc
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-openharmony-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-x64-musl
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-x64-gnu
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-s390x-gnu
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-riscv64-musl
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-riscv64-gnu
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-ppc64-gnu
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-loong64-gnu
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-arm64-musl
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-arm64-gnu
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-arm-musleabihf
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-linux-arm-gnueabihf
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-freebsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-freebsd-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-darwin-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-darwin-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-android-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@rollup\rollup-android-arm-eabi
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\win32-ia32
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\win32-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\sunos-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\openbsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\netbsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-s390x
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-riscv64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-ppc64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-mips64el
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-loong64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-ia32
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\linux-arm
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\freebsd-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\freebsd-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\darwin-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\darwin-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\android-x64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\android-arm64
npm verbose reify failed optional dependency C:\Users\vicen\OneDrive\Escritorio\ReactPasteleria\NewPasteleria-main-1\PasteleriaReact\node_modules\@esbuild\android-arm
